file,strategy,threads,trials,avg_HashGroup_Time_s
coarse.txt,Sequential,1,5,0.01026936
coarse.txt,Channel,1,5,0.0104546
coarse.txt,Channel,2,5,0.00424194
coarse.txt,Channel,4,5,0.00331608
coarse.txt,Channel,8,5,0.00379474
coarse.txt,Channel,16,5,0.00449252
coarse.txt,Channel,32,5,0.0019923199999999997
coarse.txt,Channel,64,5,0.00644028
coarse.txt,Channel,128,5,0.0045366
coarse.txt,Channel,256,5,0.00779832
coarse.txt,Mutex,1,5,0.01165684
coarse.txt,Mutex,2,5,0.00653292
coarse.txt,Mutex,4,5,0.004520959999999999
coarse.txt,Mutex,8,5,0.00601162
coarse.txt,Mutex,16,5,0.00521354
coarse.txt,Mutex,32,5,0.00505126
coarse.txt,Mutex,64,5,0.0036462
coarse.txt,Mutex,128,5,0.0047060999999999995
coarse.txt,Mutex,256,5,0.0045018
fine.txt,Sequential,1,5,0.01863726
fine.txt,Channel,1,5,0.01459858
fine.txt,Channel,2,5,0.02219492
fine.txt,Channel,4,5,0.02694452
fine.txt,Channel,8,5,0.03175206
fine.txt,Channel,16,5,0.033709680000000006
fine.txt,Channel,32,5,0.04032838
fine.txt,Channel,64,5,0.04272018
fine.txt,Channel,128,5,0.04735662
fine.txt,Channel,256,5,0.04910576
fine.txt,Mutex,1,5,0.01744408
fine.txt,Mutex,2,5,0.021751780000000002
fine.txt,Mutex,4,5,0.02974896
fine.txt,Mutex,8,5,0.0351123
fine.txt,Mutex,16,5,0.03073012
fine.txt,Mutex,32,5,0.03603628
fine.txt,Mutex,64,5,0.03232514
fine.txt,Mutex,128,5,0.03724206
fine.txt,Mutex,256,5,0.04313348
