file,strategy,threads,trials,avg_Compare_Time_s
coarse.txt,PerComparison,1,5,0.00751816
coarse.txt,ThreadPool,1,5,0.02047252
coarse.txt,ThreadPool,2,5,0.019311000000000002
coarse.txt,ThreadPool,4,5,0.011219100000000001
coarse.txt,ThreadPool,8,5,0.00668484
coarse.txt,ThreadPool,16,5,0.0082521
coarse.txt,ThreadPool,32,5,0.00358406
coarse.txt,ThreadPool,64,5,0.00600444
coarse.txt,ThreadPool,128,5,0.009473180000000001
coarse.txt,ThreadPool,256,5,0.00777126
fine.txt,PerComparison,1,5,9.71912562
fine.txt,ThreadPool,1,5,0.64154308
fine.txt,ThreadPool,2,5,12.41854132
fine.txt,ThreadPool,4,5,11.834111420000001
fine.txt,ThreadPool,8,5,11.8372285
fine.txt,ThreadPool,16,5,12.317370700000001
fine.txt,ThreadPool,32,5,13.44674468
fine.txt,ThreadPool,64,5,14.13232942
fine.txt,ThreadPool,128,5,14.6222673
fine.txt,ThreadPool,256,5,14.414029619999999
